tên,thời gian,số người,độ khó,nguyên liệu,cách chế biến,link
Cánh Gà Nướng Lò Vi Sóng,85 phút,4 người ăn,N/A,Cánh gà | Tỏi | Mật ong | Tương đen | Tương cà | Giấm | Tiêu xay | 1/2 muỗng cà phê Muối | Hạt Nêm Maggi | Dầu hào Maggi | Cà chua bi | Đậu phộng rang | Gừng,Rửa cánh gà với nước sạch thêm một chút gừng để loại bỏ bớt mùi rồi thấm khô. Dùng nĩa hoặc que nhọn châm những lỗ nhỏ trên miếng thịt để khi ướp gà  gia vị sẽ thấm sâu vào bên trong  thịt gà sẽ ngon  thơm và đậm đà hơn. | Hỗn hợp sốt ướp cánh gà là công thức quan trọng quyết định hương vị món ăn. Bạn pha dầu hào MAGGI  tương cà  tương đen  giấm  muối  tiêu xay  tỏi đập dập và 2 muỗng canh mật ong vào tô lớn. Khuấy đều tay cho hỗn hợp được hòa quyện và dậy mùi thơm của tỏi  dầu hào. Cho cánh gà vào tẩm ướp với hỗn hợp sốt vừa pha ít nhất 30 phút. Dùng màng bọc thực phẩm bọc kín miệng tô lại và bảo quản trong tủ lạnh để cánh gà thấm gia vị và ngon hơn. | Khi toàn bộ cánh gà đã thấm gia vị  ươm màu nâu nhạt và dậy mùi thơm  bạn lấy ra và dùng que tre xiên cố định cánh gà lại nhé. | Xếp cánh gà đã xiên ra đĩa hoặc khay nướng  cho vào lò vi sóng chỉnh chế độ nướng trong 10 phút. Sau đó trở mặt cánh gà  dùng cọ phết thêm một lớp nước sốt ướp ở hai mặt để da gà lên màu đẹp và thơm hơn rồi nướng thêm 10 phút nữa là hoàn tất. | Cánh gà nướng xong thơm nức  có màu nâu vàng óng  cực hấp dẫn. Bạn trang trí món ăn với cà chua bi  rắc thêm chút đậu phộng rang giòn giòn. Cánh gà nướng lò vi sóng đơn giản dễ làm  với công thức ướp lạ miệng  có vị ngọt dịu của mật ong  hương thơm của dầu hào MAGGI. Thịt gà mềm  mọng nước và không bị khô  thưởng thức với gia đình và bạn bè thì còn gì bằng.,https://www.maggi.com.vn/cong-thuc/canh-ga-nuong-lo-vi-song
Gà Tây Nướng Ngũ Vị,125 phút,20 người ăn,N/A,Gà Tây | Khoai Tây | Cà Rốt Baby | Chanh Vàng | Tỏi | Bơ Lạt | Nước cốt chanh vàng | Vỏ Chanh Vàng | Mật Ong | Ngũ Vị Hương | Đường Nâu | Lá Hương Thảo | Bột Màu Điều | Dầu hào Maggi | Nước tương Maggi,Chanh vàng bạn rửa sạch  sau đó cắt lát. Khoai tây bi gọt vỏ  cắt đôi rồi luộc sơ với nước sôi  thêm một chút muối  bạn luộc khoai tây đến khi nước sôi trở lại thì vớt ra. Cà rốt baby cạo sạch lớp vỏ ngoài  tỏi tép lột vỏ đập dập. Cho tất cả các nguyên liệu vừa chuẩn bị vào một chiếc tô lớn  thêm lá hương thảo và đường nâu vào rồi trộn đều với hỗn hợp rau củ để dậy mùi thơm và đậm vị hơn. | Gà tây làm sạch rồi dùng muối chà xát lên thân gà cho đều rồi xả lại với nước. Bạn nhớ làm sạch cả phần bụng gà rồi dùng khăn giấy thấm khô trước khi chế biến nhé! | Điểm nhấn của món gà tây nướng đó chính là hỗn hợp nước sốt ướp ngũ vị. Bạn đun chảy hoặc để bơ lạt để mềm tự nhiên ở nhiệt độ phòng  pha với dầu hào MAGGI  mật ong  nước tương MAGGI  ngũ vị hương  bột màu điều  vỏ chanh vàng bào nhuyễn và nước cốt chanh vàng. Khuấy đều tay để các gia vị tan đều thành hỗn hợp nước sốt sóng sánh có màu nâu đẹp mắt cùng mùi thơm đặc trưng. | Cho hỗn hợp rau củ đã ướp vào giữa bụng gà tây  dùng que tre hoặc chỉ thực phẩm khâu kín bụng gà. Bạn chỉ nên nhồi một lượng rau củ vừa phải vào bụng gà để khi nướng chín nhanh hơn. Nhồi càng chặt sẽ khiến thời gian nướng càng lâu và các nguyên liệu bên trong sẽ khó chín đều. Dùng cọ phết đều sốt ngũ vị lên khắp thân gà  sau đó bọc kín  bảo quản trong ngăn mát tủ lạnh từ 1-2 ngày. | Sau khi ướp  thịt gà đã thấm đều nước sốt  bạn tiến hành nướng gà. Khi nướng  bạn xếp những lát chanh vàng  khoai tây bi và cà rốt baby đã làm sạch ra khay  sau đó đặt gà tây lên. Do phần ức gà  chân gà nằm cao hơn so với những phần còn lại nên để gà tây nướng được đều màu MAGGI mách bạn dùng giấy bạc bọc phần ức gà cũng như những phần nhô cao khác lại. Cho gà vào lò nướng lần 1 ở nhiệt độ 230 độ C trong vòng 2 tiếng. | Sau khi nướng lần 1  bạn lấy gà ra phết sốt ngũ vị lên khắp thân gà và rưới thêm phần mỡ chảy xuống lên trên rồi tiếp tục đậy giấy bạc lên phần ức và chân gà rồi nướng lần 2 với 230 độ C khoảng 1 tiếng. Sau đó  hạ nhiệt độ lò xuống còn 110 độ C  bỏ giấy bạc trên thân gà ra rồi nướng thêm 30 phút nữa để gà lên màu đẹp mắt. Lúc này bạn thêm một ít cà chua bi vào nướng cùng  cà chua sẽ chín mềm  không bị cháy khét. | Khi gà tây đã nướng xong  bạn có thể trình bày món ăn ra dĩa và cùng những người thân yêu thưởng thức nóng. Khi dùng  bạn rút que tre hoặc cắt chỉ thực phẩm ra để thưởng thức cả phần rau củ chín bên trong bụng gà. Gà tây nướng ngũ vị thơm lừng  săn chắc lại mềm ngọt chắc chắn sẽ là món mới thời thượng khiến mọi người phải trầm trồ.,https://www.maggi.com.vn/cong-thuc/ga-tay-nuong-ngu-vi
Gà Nướng Phô Mai Cay,95 phút,3 người ăn,N/A,Ức Gà | Phô Mai Mozzarella | Hành Lá Cắt Nhỏ | Tỏi Băm | Gừng Băm | Siro Ngô | Đường | Dầu Mè | Dầu ăn | Ớt Bột | Tương Ớt Hàn Quốc | Nước Tương Maggi | Dầu Hào Maggi,Đối với hành lá bỏ rễ và lá úa  rửa nước rồi thái nhỏ. Bạn cũng chuẩn bị chén nhỏ  cho vào lần lượt các loại gia vị gồm dầu hào MAGGI  nước tương MAGGI  tương ớt Hàn Quốc  ớt bột  siro ngô  đường  dầu mè  dầu ăn  tỏi cùng gừng băm và 10gr hành lá. Dùng muỗng khuấy đều cho sốt ướp gà được hòa tan. | Bạn rửa nước gà thật sạch  loại bỏ mỡ thừa bám quanh  cắt thành miếng vuông vừa ăn. Cho ức gà vào tô  rưới sốt vừa pha vào cùng  trộn đều và để ướp thịt trong ít nhất khoảng 30 phút cho ức gà thấm vị. | Trước tiên  bạn cần làm nóng lò nướng và xếp từng miếng gà đã ướp lên khay. Đợi nhiệt độ trong lò ổn định  bạn cho khay ức gà vào  chỉnh nhiệt ở mức 200 độ C  nướng gà khoảng tầm 30 phút thì tắt lò. | Bạn đặt chảo gang hoặc chảo tráng men lên bếp  rắc lên một lớp phô mai Mozzarella thật đều dưới đáy chảo rồi gắp từng miếng ức gà để lên phía trên. Bật lửa đun phô mai đến khi tan chảy thì thêm rải thêm phần hành lá còn lại. Chỉ cần thế thôi là bạn có thể tắt lửa  nhắc chảo gà nướng phô mai cay xuống và thưởng thức miếng gà ướp thơm ngon quấn cùng lớp phô mai béo ngậy.,https://www.maggi.com.vn/cong-thuc/ga-nuong-pho-mai-cay
Đùi Vịt Nướng Dầu Hào,70 phút,4 người ăn,N/A,800 g Thịt Vịt | 0 1/2 bát Rượu Vang Trắng | 20 g Sả Xay | 20 g Tỏi | 10 g Hành Lá | 5 g Gừng Băm | 1 muỗng canh Nước Cốt Chanh | 4 muỗng canh Mật Ong | 1/2 muỗng canh Giấm | 1 muỗng cà phê Ớt Bột | 1 muỗng cà phê Dầu Mè | 1/2 muỗng cà phê Tiêu Xay | 1 muỗng cà phê Ngũ Vị Hương | 5 muỗng canh MAGGI Dầu Hào | 1 muỗng canh MAGGI Hạt Nêm Nấm Hương,Gừng đem băm hoặc giã nhuyễn pha với ít rượu trắng rồi đem chà sát hỗn hợp lên miếng đùi vịt để loại bỏ mùi hôi. Rửa lại đùi vịt bằng nước sạch rồi thấm khô. | Pha hỗn hợp ướp thịt vịt gồm sả băm  tỏi đập dập  hành lá thái sợi  dầu hào MAGGI  3 muỗng canh mật ong  hạt nêm MAGGI nấm hương  ớt bột  ngũ vị hương  tiêu xay  nước cốt chanh  khuấy đều hỗn hợp cho hòa quyện. | Cho vịt vào âu  đổ phần nước sốt vào  ướp thịt vịt ít nhất 30 phút trong tủ lạnh cho thấm gia vị. Chuẩn bị sẵn nồi hấp  cho đùi vịt vào hấp trong 30 phút. | Chuẩn bị bếp than hồng  cho đùi vịt lên vỉ nướng mỗi mặt 10 phút  khi nướng phết sốt ướp lên thịt thường xuyên để thịt không bị khô  thấm đều gia vị đậm đà hơn. Chuẩn bị sẵn hỗn hợp gồm phần mật ong còn lại  giấm  dầu mè  sau khi nướng vịt trên bếp 20 phút bạn phết hỗn hợp này lên trên phần da vịt rồi nướng thêm 10 phút nữa là hoàn tất. | Trình bày món ăn ra dĩa và thưởng thức. Tiêu chuẩn để xác định món ăn đạt “chuẩn” là đùi vịt mọng mềm  không bị khô  đậm đà  thơm nức mũi nhé!,https://www.maggi.com.vn/cong-thuc/dui-vit-nuong-dau-hao
Thịt BBQ Sốt Hàn Quốc,60 phút,3 người ăn,N/A,Thịt ba chỉ | Lê | Hành tây | Tỏi | Gừng | Hành lá | 3 muỗng canh Tương Ớt Hàn Quốc (Gochujang) | Đường nâu | 1 muỗng canh Siro Ngô ngọt (Bắp ngọt) | 1 muỗng canh Dầu Mè | 1 muỗng canh Ớt Bột | Tương đậu nành Hàn Quốc Doenjang | Dầu hào Maggi,Sơ chế các nguyên liệu: gừng cạo vỏ  hành tây bóc vỏ bổ miếng  tỏi bóc vỏ  trái lê gọt vỏ bỏ lõi  tất cả cho vào máy xay nhuyễn. Tiếp đến  trộn đều các nguyên liệu còn lại: hành lá cắt nhỏ  dầu hào MAGGI  tương ớt  tương đậu nành  đường nâu  si rô ngô  dầu mè và ớt bột. Cho phần nguyên liệu xay nhuyễn lúc nãy vào và trộn thêm lần nữa. Để món ăn “chuẩn vị” Hàn thì tương ớt  tương đậu nành  ớt bột bạn nên sử dụng đúng gia vị của Hàn Quốc luôn nhé. | Thịt ba chỉ cắt thành những miếng mỏng vừa ăn  ướp với nước sốt vừa pha phía trên. Để ít nhất 30 phút cho thịt ngấm gia vị. Chú ý sau 5 – 10 phút đảo thịt để thịt ngấm sốt đều hơn. Phần sốt ướp còn dư bạn đem đun sôi lên để làm nước chấm. Để thịt ba chỉ mọng mềm bạn đừng quên thêm 1 muỗng dầu hào MAGGI vào sốt ướp thịt  dầu hào sẽ giúp cho thịt không bị khô khi nướng. | Xếp từng miếng thịt ba chỉ lên bếp  nướng vàng 2 mặt. Khi nướng  nếu thấy thịt hơi khô hãy phết thêm sốt liên tục bạn nhé. Món ăn sẽ đậm chất Hàn hơn nếu bạn nướng thêm một ít hành tây  tỏi hoặc củ quả bạn thích để ăn kèm. Thịt chín tới ăn cùng các loại rau  kim chi  chấm thêm nước sốt được chế biến theo công thức đặc biệt của MAGGI thì đảm bảo ngon “bá cháy”. Bỏ túi ngay công thức mới này để cuối tuần thực hiện cùng gia đình nhé!,https://www.maggi.com.vn/cong-thuc/thit-ba-chi-bbq-sot-han-quoc
Giò Xào Rong Biển,130 phút,10 người ăn,N/A,Thịt chân giò | Tai lợn | Rong biển khô | Nấm kim châm | Gừng | Chanh | Hành tím băm | Đường trắng | Tiêu hạt | Sả | 1/2 muỗng cà phê Tiêu Xay | Dầu Ăn | Hạt Nêm Maggi | Nước tương MAGGI,Để sơ chế phần thịt  bạn rửa phần tai lợn và thịt chân giò bằng nước lạnh với một chút muối  nhớ lưu ý cạo thật sạch lông trên da lợn nhé! | Sau khi đã làm sạch  thả thịt chân giò vào nồi nước lạnh  thêm vào hạt nêm MAGGI (1/2 muỗng canh)  gừng thái lát  đập dập và sả cắt khúc. Luộc thịt theo cách này sẽ giúp thịt chín từ từ  dậy mùi thơm và phần da bên ngoài không bị thâm. Nhớ luộc tai lợn và thịt chân giò trong khoảng 15 phút tính từ khi nước sôi để thịt vừa chín tới thôi nha. | Chuẩn bị sẵn tô nước đá  bỏ lát chanh vào  thả phần thịt vừa luộc vào ngâm để thịt nguội dần  vừa giữ được độ trắng mà vẫn giòn dai. Sau khi thịt nguội hẳn  vớt tai lợn và thịt chân giò ra để ráo nước rồi cắt thành những lát mỏng vừa ăn. | Nào  giờ thì ướp thịt giò xào thật thấm mà vẫn rất đơn giản cùng MAGGI nha. Cho phần thịt đã thái ra tô  ướp với nước tương MAGGI  đường  tiêu hạt  hành tím xay và hạt nêm MAGGI (1/2 muỗng canh). Trộn thật đều để gia vị phủ lên toàn bộ thịt  lúc này các bạn đã có thể nghe được mùi thơm dậy vị của món ăn rồi. Nhớ ướp khoảng 30 phút để thịt được thấm gia vị đậm đà hơn nhé! | Trong thời gian chờ ướp thịt  hãy chuyển sang sơ chế rong biển và các loại nấm. Ngâm rong biển và nấm tuyết trong nước lạnh khoảng 5 phút cho nở rồi cắt nhỏ. Nấm kim châm cắt chân  rửa sạch với nước muối loãng sau đó cắt làm đôi. | Khi thịt đã bắt đầu thấm gia vị  làm nóng chảo  cho dầu ăn; rồi cho thịt vào xào. Đây là công đoạn đòi hỏi phải tập trung để món giò xào không bị khô và có mùi thơm đặc trưng. Tốt nhất là xào thật đều tay trên lửa vừa khoảng 10 phút  quan sát thấy thịt tiết mỡ và cháy cạnh một chút là được. | Sau khi thịt đã đạt được độ chín hoàn hảo thì thêm rong biển  nấm tuyết và nấm kim châm vào chảo  xào chung thêm 10 phút nữa  thêm tiêu xay  đảo đều lên cho dậy mùi rồi tắt bếp. | Chuyển sang công đoạn cuốn giò xào nào! Chuẩn bị khuôn nén giò  dùng lá chuối lót một lớp bên trong  múc hỗn hợp vào khuôn khi còn nóng. Khi khuôn đã đầy  bạn gói lá chuối lại rồi dùng nắp chặn ép xuống cho phần thịt xào được nén chặt và kết dính với nhau. Sau 10 phút  bạn nén thêm một lần nữa  rồi để khuôn trong ngăn mát tủ lạnh khoảng 3-4 giờ là có thể thưởng thức. Với sự trợ giúp của khuôn nén giò  bạn yên tâm là món giò xào sẽ vô cùng đẹp mắt khi được bày biện trên bàn ăn .,https://www.maggi.com.vn/cong-thuc/gio-xao-rong-bien
Tai Heo Ngâm Sả Tắc,60 phút,9 servings,N/A,Tai heo | Xoài | Sả | Ớt sừng | Gừng | Tắc | Nước mắm Maggi | Đường trắng | Giấm | Tương ớt | Ớt bột | Cà rốt | Rượu trắng | Muối,Bắt đầu sơ chế thôi! Xoài xanh và cà rốt rửa sạch sau đó gọt vỏ  dùng dao có răng cưa cắt thành những miếng vừa ăn. Bạn rửa sạch sả cây  bỏ các lớp vỏ già bên ngoài  thái lát mỏng một nửa  phần còn lại đập hơi dập rồi tước thành sợi dài. Ớt sừng rửa sạch  bạn loại bỏ phần hạt và cuống  thái lát mỏng cùng gừng và tắc. Hành tím sau khi bóc vỏ và rửa sạch thì cắt làm 4 bạn nhé. Phần nguyên liệu này để cho thật ráo nước. | Rửa tai heo bằng nước lạnh với một chút muối  nhớ lưu ý cạo thật sạch lông trên da lợn nhé. Nếu tai heo có nhiều mỡ dính bên dưới  bạn có thể cắt bớt đi để khi ngâm không bị nổi váng và bảo quản được lâu hơn. Chuẩn bị nồi nước với muối  sả cắt khúc  gừng thái lát  rượu trắng  đun cho đến nước ấm lên thì thả tai heo vào luộc. Bạn lưu ý luộc trong nước ấm thôi nhé  nếu nước nóng quá tai heo sẽ bị thâm. Tai heo phải luộc ngập nước để chín từ từ và phần da bên ngoài được trắng. | Tai heo luộc trong khoảng 15 phút từ khi nước sôi là được. Phần tai khi dùng đũa xiên vào mềm là đã chín  không nên luộc quá chín để tránh tình trạng đổ nhớt khi ngâm. Chuẩn bị thau nước đá với nước cốt chanh ngâm tai heo vừa luộc xong để tai trắng và giòn. Khi ngâm đá  bạn dùng dao cạo sạch phần mỡ bên ngoài da tai heo nhé. Đây là bí quyết giúp tai heo ngâm sả tắc tránh bị đục nước  nổi váng mỡ  không bảo quản lâu được. Sau khi cạo sạch  để ráo nước rồi thái lát mỏng. | Pha nước ngâm tai heo với nước mắm  đường trắng  giấm  tương ớt  ớt bột cùng nước lọc  cho tất cả vào chung 1 tô lớn rồi khuấy đều cho đường tan  các gia vị hòa quyện với nhau. Thêm sả  tắc  gừng  ớt sừng  hành tím vào đã cắt vào trộn thêm lần nữa rồi mới cho tai heo  cà rốt  xoài vào. Đảo đều tất cả lên cho thấm gia vị. | Bạn bọc tô lại cho kín bằng màng bọc thực phẩm hoặc cho vào hũ ngâm. Xếp lần lượt tai heo  xoài xanh  cà rốt xen kẽ với sả tắc để thịt được ngấm và thơm. Nước ngâm phải ngập mặt các nguyên liệu nhé. Bảo quản trong tủ lạnh từ 2 – 3 tiếng cho tai heo ngấm là có thể dùng được rồi. Tai heo ngâm sả ớt cay cay  sần sật  ăn kèm xoài xanh chua ngọt và cà rốt giòn ngon lạ miệng  ăn hoài không ngán.,https://www.maggi.com.vn/cong-thuc/tai-heo-ngam-sa-tac
Sốt chấm Jambon Tôm Hấp,10 phút,1 người ăn,N/A,Mật Ong | Wasabi | Nước Tương MAGGI | Hạt Nêm Maggi Nấm Hương | 1 muỗng canh Tương ớt,Bạn cho vào 1 chén nhỏ: nước tương MAGGI  tương ớt cùng hạt nêm MAGGI nấm hương  thêm chút mật ong cùng wasabi. Dùng muỗng khuấy đều để hỗn hợp được hòa tan thành sốt sánh mịn hấp dẫn. Vậy là đã hoàn thành khâu pha sốt thật dễ dàng. | Sau khi tôm cuộn Jambon xông khói đã được hấp chín  bạn bày ra dĩa cùng chén nước chấm độc đáo thời thượng vừa pha chế. Hương wasabi nồng cay cùng vị nước tương đậu nành đặc trưng có thêm chút ngọt thơm đậm của mật ong sẽ tạo nên một trải nghiệm ẩm thực thật tuyệt vời đó nha!,https://www.maggi.com.vn/cong-thuc/sot-cham-jambon-xong-khoi-cuon-tom-hap
Ruốc Cá Hồi Rong Biển,45 phút,3 người ăn,N/A,Cá hồi | Gừng | Hành lá | Rong biển | Mè trắng | Muối | Dầu Oliu | Nước tương Maggi,Chuẩn bị: cá hồi lọc bỏ phần da  đem rửa sạch với nước muối loãng để khử mùi tanh  sau đó vớt cá ra để ráo nước. Cho cá vào xửng hấp chung với gừng thái sợi và đầu hành lá cắt nhỏ trong 10 phút. Khi cá chín bẻ ra thành những miếng nhỏ rồi cho vào cối  dùng chày giã cá thật nhuyễn. Cá hồi nên giã khi còn nóng sẽ tơi hơn  khi rang lại cũng đẹp mắt hơn đấy. Làm ruốc cá hồi như này dễ hơn rất nhiều so với làm ruốc thịt đúng không? | Bắc chảo lên bếp  cho mè trắng vào chảo  mở lửa vừa rang từ từ đến khi mè ngả vàng thì cho vào rong biển (loại cuộn cơm) cắt nhỏ vào rang chung thêm 2 phút nữa thì nhắc xuống. Cho mè và rong biển vào cối xay nhỏ. Dinh dưỡng từ mè và rong biển cũng rất nhiều mà còn thơm ngon  bùi ngọt nữa. | Cho vào chảo dầu oliu  sau đó cho cá hồi giã nhuyễn vào đảo sơ 2 phút. Tiếp theo nêm vào cá hồi nước tương MAGGI  tiếp tục rang nhỏ lửa đến khi thịt cá khô và bong lên. | Tiếp đó cho hỗn hợp mè và rong biển xay nhỏ vào  đảo đều tay thêm 1 phút cho tất cả hòa trộn vào nhau thì tắt bếp. Ruốc cá hồi rong biển ăn cùng cháo hoặc cơm nóng rất ngon  giúp cho cả nhà và đặc biệt các bạn nhỏ sẽ không còn ghét ăn cá nữa. Để tiết kiệm thời gian  bạn cũng có thể làm nhiều sau đó bảo quản trong tủ lạnh ăn dần.,https://www.maggi.com.vn/cong-thuc/ruoc-ca-hoi-rong-bien
Gà nấu đông,125 phút,8 người ăn,N/A,Thịt đùi gà | 2 lít Nước Hầm Xương | Da heo | Cà rốt | Nấm mèo khô | Nấm đông cô tươi | Tiêu xanh | Hành tím | Gừng | Đầu hành lá | Tiêu | 2 muỗng canh Dầu Ăn | Dầu hào Maggi,Rửa sạch nấm đông cô  tỉa hoa khoảng 6 cái cho đẹp sau đó ngâm với nước muối loãng để khử mùi rồi luộc chín. Phần còn lại bạn cắt thành những lát mỏng. Nấm mèo đen rửa sạch và ngâm với nước ấm cho nở  cắt bỏ phần gốc nấm rồi thái thành sợi nhỏ. Gọt vỏ  rửa sạch cà rốt  tỉa thành hình hoa rồi thái lát. | Thịt đùi gà rửa sạch với muối hạt và chút rượu trắng để loại bỏ hết mùi hôi  tanh của gà. Bạn có thể dùng gừng nếu không có sẵn rượu trắng. Sau đó  lọc riêng phần xương gà  thịt gà thái miếng vừa ăn. Ướp thịt đùi gà với nửa muỗng cà phê muối  tiêu xay  2 muỗng canh dầu hào MAGGI. Trộn đều tay để thịt gà thấm gia vị và thơm mùi dầu hào nhé. | Da heo rửa sạch  loại bỏ bớt các phần mỡ sót lại dưới bề mặt da  xoa một ít muối rồi xả sạch với nước. Hãy đảm bảo phần da không còn sót lại lông heo nhé. Bắc một nồi nước lên bếp  cho gừng thái lát  đầu hành và da heo vào luộc nhanh trong 10 phút. Sau đó vớt da heo ra  thái thành sợi nhỏ. Bắc nồi nước hầm xương lên bếp  cho da heo thái sợi vào luộc 30 phút rồi vớt ra. Nhớ vớt bọt để nước dùng trong và thơm ngon hơn. | Làm nóng chảo với dầu ăn  phi thơm hành tím và cho phần thịt gà đã ướp vào xào chín trên lửa vừa. Cho thêm cà rốt  nấm mèo đã sơ chế cùng tiêu xanh vào chảo  nêm 1 muỗng dầu hào MAGGI rồi xào đều tay  thịt gà và rau củ chín tới  lên màu vàng óng đẹp mắt thì tắt bếp. Trút hỗn hợp vào nồi nước dùng  thêm nấm đông cô cắt lát mỏng vào khuấy đều  nấu 5 phút nữa thì tắt bếp. Trong khi nấu  thỉnh thoảng vớt bọt để nước được trong. | Chuẩn bị 1 cái tô  xếp nấm đông cô tỉa hoa đã luộc chín cùng cà rốt thái hoa xen kẽ dưới đáy tô để thành phẩm được đẹp mắt  sau đó nhẹ nhàng múc hỗn hợp thịt đông cho vào gần đầy tô. Dùng màng bọc thực phẩm bọc kín tô thịt và để vào ngăn mát tủ lạnh ít nhất 4 tiếng cho đến khi thịt đông lại. | Khi thịt đã đông hoàn thành  bạn chuẩn bị 1 cái đĩa  lấy mũi dao tách nhẹ lớp viền xung quanh tô rồi úp ngược để lấy thịt ra. Bạn có thể trang trí cho đĩa thịt gà nấu đông thêm hấp dẫn với một ít ngò  ớt. Thịt gà mềm dai  ngon ngọt đậm đà và có hương thơm đặc trưng của dầu hào MAGGI  nước thịt đông mềm và trong  thoảng mùi thơm của tiêu xay rất cuốn hút. Bạn có thể chế biến món Gà Nấu Đông cho ngày Tết nữa đấy  hãy ghi chú công thức này thật kĩ nhé!,https://www.maggi.com.vn/cong-thuc/thit-dong-ga
Bắp Bò Ngâm Đu Đủ,140 phút,2 người ăn,N/A,Bắp bò | Hành tím | Sả cây | Gừng | Ớt | Tiêu xanh | Tiêu đen | Hoa hồi | Đường phèn | Đu Đủ Xanh | Đường Trắng | Nước mắm Maggi,Cho gia vị luộc bò vào nồi nước gồm: sả hành tím  hoa hồi  gừng thái lát  đường phèn. Đun nồi nước đến ấm thì cho bắp bò đã làm sạch vào luộc; nhớ dùng dây lạt để cố định cho bắp bò đẹp. Luộc bắp bò trong 45 phút  sau đó  vớt bắp bò ra  ngâm ngay vào tô nước đá trong 15 phút để bắp bò săn giòn; rồi mới lấy ra  cắt dây lạt. | Đu đủ xanh gọt vỏ  làm sạch  bào sợi mỏng và phơi ngoài trời 1 buổi sáng để đu đủ héo nhẹ và săn lại. | Cho nước nước lọc vào nồi cùng đường trắng. Sau đó  mở bếp  đun lửa nhỏ  khuấy đều cho đường tan. Khi nước sôi  cho nước mắm vào nồi  khuấy đều rồi tắt bếp. Sau đó  hãy để nước mắm thật nguội. | Cho đu đủ xanh vào trước  xếp vừa đủ không nén chặt. Đặt bắp bò lên trên rồi cho tiếp lần lượt tiêu xanh  tiêu hạt  hành tím  ớt sừng. Chế nước mắm đã nấu vào ngập nguyên liệu. Đậy kín nắp và ngâm từ 4-6 tiếng là có thể dùng được. Lúc ăn  gắp bắp bò ra và cắt lát mỏng vừa ăn.,https://www.maggi.com.vn/cong-thuc/bap-bo-ngam-du-du
Hủ Tiếu Trộn Bò Kho,60 phút,3 người ăn,N/A,Hủ Tiếu Khô | Thịt Nạm Bò | Cà Rốt | Sốt Cà Chua | Tỏi Băm | Hành Tím Băm | 2 nhánh Sả Cây | 1 cái Hoa Hồi | 1 thanh Quế | 1 1/2 muỗng canh Đường Trắng | Dầu Ăn | Hành lá | Ngò gai | Rau giá | 1 muỗng cà phê Ngũ Vị Hương | 1 muỗng canh MAGGI Hạt Nêm Nấm Hương | Dầu hào Maggi,Bạn rửa thịt bò cho sạch rồi thái thịt thành từng khối vuông cạnh 2cm. Nấu nước sôi  chần sơ hủ tiếu trong vòng 1 phút thì vớt lên xả dưới vòi nước. Đối với cà rốt  bào hết vỏ  cắt khúc hình chữ nhật dài 2cm. Sả bỏ bớt lá  đập dập rồi băm nhuyễn. | Cho thịt bò đã thái vào tô cùng lần lượt các loại gia vị như 1 muỗng canh dầu hào MAGGI  hạt nêm MAGGI nấm hương  ngũ vị hương  10gr tỏi băm  1 muỗng canh đường cát. Bạn dùng đũa trộn đều  ướp thịt tối thiểu 30 phút để thịt thấm vị. | Bạn đổ dầu ăn vào nồi  đun nóng dầu thì cho lượng  tỏi băm còn lại cùng hành tím xay vào phi  lúc hành tỏi vàng thơm thì thêm thịt bò. Bạn xào thịt đến khi vừa săn thì cho sốt cà chua vào  đảo qua lại vài lần rồi tiếp tục thêm vào nước lọc sao cho sấp mặt thịt. | Bạn đun hỗn hợp cho thật sôi và vớt hết bọt rồi đó sẽ cho sả  hoa hồi cùng quế vào nồi. Vặn lửa nhỏ  bắt đầu hầm thịt trong vòng 30 phút để thịt chín mềm. Sau đó dùng đũa gắp hoa hồi và quế ra  nêm vào nồi ít dầu hào MAGGI và đường cát. Thử lại vị và nêm nếm để điều chỉnh cho hợp ý nhé! | Bạn cho cà rốt vào nồi  đun trong vòng 10 phút để cà rốt mềm và nước hầm sệt lại là có thể tắt bếp. Lúc này  bạn cho hủ tiếu vào tô  rưới lên nước sốt bò hầm nóng hổi  có thể thêm rau giá cùng ngò gai để kích thích vị giác hơn. Vậy là món Hủ Tiếu Trộn Bò Kho đã hoàn thành rồi.,https://www.maggi.com.vn/cong-thuc/hu-tieu-tron-bo-kho
